transaction_id,customer_id,store_id,transaction_date,total_amount
T0001,CUST0080,S016,2025-08-30 18:04:22.000000,5481.23
T0002,CUST0040,S018,2025-07-09 07:47:57.000000,1114.89
T0003,CUST0060,S004,2025-09-13 14:06:08.000000,3009.61
T0004,CUST0061,S008,2025-06-14 02:25:16.000000,4790.55
T0005,CUST0037,S010,2025-07-12 02:56:38.000000,9367.02
T0006,CUST0030,S014,2025-03-12 06:11:24.000000,1649.12
T0007,,S013,2024-12-31 09:25:20.000000,626.46
T0008,CUST0057,S004,2025-10-11 17:06:35.000000,5202.1
T0009,CUST0041,S016,2025-02-05 17:45:29.000000,3696.96
T0010,CUST0006,S011,2025-03-17 09:40:05.000000,1459.32
T0011,CUST0019,S008,2025-02-18 16:44:52.000000,8286.45
T0012,CUST0060,S010,2025-04-11 12:06:23.000000,3613.19
T0013,CUST0046,S019,2025-01-31 00:58:03.000000,2011.22
T0014,CUST0096,S016,2025-03-19 17:47:21.000000,3924.38
T0015,CUST0093,S005,2024-11-27 20:19:24.000000,368.55
T0016,CUST0057,S002,2025-08-24 07:39:42.000000,5995.43
T0017,CUST0060,S003,2025-06-17 18:57:03.000000,1391.36
T0018,CUST0072,S012,2025-01-10 12:17:23.000000,159.06
T0019,CUST0059,S012,2025-03-08 21:13:04.000000,4235.8
T0020,CUST0072,S011,2024-12-10 00:41:17.000000,3935.6
T0021,CUST0048,S018,2024-12-13 12:40:13.000000,1846.99
T0022,CUST0028,S015,2025-06-25 06:07:49.000000,6466.16
T0023,CUST0059,S003,2025-03-15 19:21:43.000000,2128.3
T0024,CUST0073,S007,2025-08-20 04:51:08.000000,714.69
T0025,CUST0030,S011,2025-01-10 09:27:40.000000,3286.83
T0026,CUST0015,S001,2025-07-28 01:49:37.000000,5377.16
T0027,CUST0023,S009,2025-10-25 15:05:46.000000,3143.07
T0028,CUST0096,S003,2025-09-10 16:58:57.000000,4961.03
T0029,CUST0083,S001,2025-05-31 23:46:19.000000,2176.72
T0030,CUST0014,S016,2025-01-01 04:38:14.000000,5293.13
T0031,CUST0068,S010,2025-10-27 06:47:19.000000,9300.35
T0032,CUST0030,S014,2024-11-27 02:46:22.000000,5458.34
T0033,CUST0020,S016,2025-07-03 07:07:02.000000,384.39
T0034,CUST0096,S012,2025-03-12 18:41:08.000000,3857.9
T0035,CUST0016,S014,2025-05-23 15:32:51.000000,4768.84
T0036,CUST0074,S017,2025-05-27 06:23:27.000000,2417.91
T0037,CUST0098,S009,2025-05-12 09:55:04.000000,5106.98
T0038,CUST0073,S013,2025-04-03 16:03:38.000000,204.17
T0039,CUST0028,S013,2025-02-01 22:50:42.000000,4165.09
T0040,CUST0007,S003,2024-12-12 07:19:00.000000,4085.34
T0041,CUST0037,S019,2025-02-28 09:43:12.000000,1978.69
T0042,CUST0096,S014,2025-10-23 00:17:28.000000,5286.6
T0043,CUST0086,S012,2025-05-26 21:12:35.000000,212.08
T0044,CUST0059,S003,2025-01-05 15:49:13.000000,2688.42
T0045,CUST0059,S012,2025-10-07 15:07:27.000000,439.31
T0046,CUST0052,S017,2024-12-17 17:29:45.000000,1060.4
T0047,CUST0029,S011,2025-04-26 23:18:54.000000,3599.91
T0048,CUST0045,S005,2025-06-01 07:51:40.000000,1958.83
T0049,CUST0084,S003,2024-12-21 02:56:49.000000,3987.92
T0050,CUST0073,S020,2025-07-04 10:40:41.000000,7428.6
T0051,CUST0010,S010,2025-07-24 19:18:37.000000,3946.0
T0052,CUST0074,S007,2025-08-15 22:38:18.000000,4259.56
T0053,CUST0023,S002,2024-12-13 04:07:26.000000,1998.9
T0054,CUST0047,S012,2025-01-20 06:38:57.000000,1764.74
T0055,CUST0072,S013,2025-01-19 07:04:24.000000,5478.12
T0056,CUST0084,S013,2025-10-03 08:50:35.000000,1328.66
T0057,CUST0086,S017,2025-06-28 22:29:46.000000,142.24
T0058,CUST0003,S012,2025-03-20 08:24:12.000000,3371.54
T0059,CUST0065,S018,2024-12-25 10:23:40.000000,5088.78
T0060,CUST0087,S008,2025-02-26 17:45:30.000000,4228.26
T0061,CUST0074,S999,2025-01-07 08:29:58.000000,7888.65
T0062,CUST0048,S018,2025-06-27 02:04:07.000000,4165.74
T0063,CUST0037,S003,2025-11-26 14:12:40.183846,2575.67
T0064,CUST0058,S012,2025-05-02 23:28:26.000000,292.5
T0065,CUST0048,S008,2025-07-15 19:44:28.000000,3318.49
T0066,CUST0061,S015,2025-07-11 20:45:21.000000,6451.85
T0067,CUST0080,S015,2025-09-25 10:41:23.000000,3539.68
T0068,CUST0003,S017,2025-07-20 12:31:40.000000,4392.34
T0069,CUST0065,S018,2025-02-18 00:00:27.000000,14.14
T0070,CUST0048,S009,2025-09-19 14:26:20.000000,861.62
T0071,CUST0094,S004,2025-06-13 07:10:48.000000,5642.38
T0072,CUST0006,S007,2025-04-19 01:49:52.000000,1030.7
T0073,CUST0070,S016,2025-05-16 07:33:00.000000,4929.12
T0074,CUST0096,S015,2025-11-10 04:19:32.000000,4777.08
T0075,CUST9999,S018,2025-05-13 06:54:35.000000,4609.85
T0076,CUST0045,S015,2025-03-17 19:58:59.000000,1992.18
T0077,CUST0056,S009,2025-10-22 09:47:07.000000,2224.95
T0078,CUST0096,S006,2025-07-08 21:54:10.000000,3141.0
T0079,CUST0057,S002,2025-05-07 21:26:05.000000,3710.96
T0080,CUST0073,S002,2025-03-20 22:48:04.000000,6930.83
T0081,CUST0064,S017,2025-07-01 04:27:42.000000,3935.06
T0082,CUST0057,S003,2025-07-21 12:50:43.000000,5675.12
T0083,CUST0066,S008,2024-12-15 17:50:17.000000,743.91
T0084,CUST0004,S012,2025-07-17 02:37:22.000000,7001.2
T0085,CUST0010,S005,2025-09-05 18:35:00.000000,4378.19
T0086,CUST0024,S005,2024-12-30 21:22:30.000000,4995.55
T0087,CUST0067,S010,2025-09-14 13:40:34.000000,1301.16
T0088,CUST0071,S009,2025-02-11 01:10:29.000000,5302.26
T0089,CUST0076,S019,2025-07-23 06:40:25.000000,2263.88
T0090,CUST0073,S002,2025-02-12 07:20:54.000000,190.35
T0091,CUST0099,S019,2025-03-05 03:07:54.000000,8126.4
T0092,CUST0062,S008,2025-08-05 20:05:15.000000,7455.56
T0093,CUST0041,S012,2024-12-23 21:10:23.000000,7500.43
T0094,CUST0079,S014,2025-01-22 08:19:45.000000,3075.06
T0095,CUST0064,S017,2025-02-23 12:09:23.000000,6912.96
T0096,CUST0084,S016,2025-01-28 20:30:38.000000,3350.03
T0097,CUST0047,S002,2025-06-24 17:23:30.000000,15045.44
T0098,CUST0016,S005,2024-12-21 12:06:23.000000,1272.48
T0099,CUST0044,S018,2025-01-22 03:26:27.000000,3093.36
T0100,CUST0067,S015,2024-11-23 09:23:26.000000,2258.64
T0101,CUST0079,S010,2025-04-30 00:06:39.000000,10982.55
T0102,CUST0093,S001,2025-05-16 07:26:59.000000,5160.75
T0103,CUST0032,S002,2025-08-17 01:51:20.000000,4279.18
T0104,CUST0067,S007,2025-07-10 23:10:21.000000,9375.86
T0105,CUST0029,,2025-05-23 20:21:10.000000,2281.38
T0106,CUST0087,S018,2025-03-15 11:11:04.000000,5731.96
T0107,CUST0028,S007,2024-12-05 00:40:35.000000,3013.03
T0108,CUST0092,S016,2025-02-20 05:57:57.000000,855.35
T0109,CUST0021,S014,2025-03-14 05:46:59.000000,4577.11
T0110,CUST0005,S006,2025-08-23 21:45:25.000000,1969.13
T0111,CUST0043,S010,2025-03-12 03:34:38.000000,6007.15
T0112,CUST0092,S006,2025-08-22 08:46:12.000000,2002.68
T0113,CUST0073,S007,2025-10-22 04:33:59.000000,1823.43
T0114,CUST0013,S006,2025-05-17 16:19:47.000000,2925.16
T0115,CUST0058,S009,2024-12-19 23:53:40.000000,3273.67
T0116,CUST0060,S010,2025-08-16 07:20:34.000000,1820.79
T0117,CUST0082,S010,2025-02-21 00:07:07.000000,2849.52
T0118,CUST0071,S016,2025-11-16 03:55:34.000000,8645.06
T0119,CUST0065,S007,2025-03-05 02:16:44.000000,9228.57
T0120,CUST0059,S019,2025-09-24 07:32:25.000000,3086.32
T0121,CUST0040,S001,2025-09-25 15:24:52.000000,2276.33
T0122,CUST0061,S002,2025-07-23 02:24:50.000000,3227.44
T0123,CUST0049,S013,2025-07-09 09:41:18.000000,3355.6
T0124,CUST0016,S006,2025-08-06 03:07:25.000000,3233.5
T0125,CUST0098,S004,2025-09-30 13:23:42.000000,89.67
T0126,CUST0003,S008,2025-11-19 22:52:18.000000,2458.46
T0127,CUST0007,S008,2025-02-07 04:15:35.000000,1013.61
