line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,T0001,P098,PROMO_08,1,68.82
2,T0001,P017,,-5,2245.05
3,T0001,P090,PROMO_08,8,2045.84
4,T0001,P078,,4,1121.52
5,T0002,P071,PROMO_02,7,1114.89
6,T0003,P064,,5,2198.8
7,T0003,P035,,7,810.81
8,T0004,P071,,3,637.08
9,T0004,P077,,9,3072.15
10,T0004,P018,PROMO_03,2,433.93
11,T0004,P044,PROMO_02,9,647.39
12,T0005,P075,,8,3339.68
13,T0005,P058,,9,1891.71
14,T0005,P043,,9,1532.79
15,T0005,P049,,8,861.28
16,T0005,P025,,4,1741.56
17,T0006,P041,,8,1649.12
18,T0007,P064,PROMO_08,1,285.84
19,T0007,P043,,2,340.62
20,T0008,P059,,1,335.19
21,T0008,P053,PROMO_03,3,692.48
22,T0008,P044,,10,959.1
23,T0008,P084,,2,918.62
24,T0008,P087,,9,2296.71
25,T0009,P005,PROMO_08,10,957.45
26,T0009,P088,,5,2193.2
27,T0009,P096,,2,129.04
28,T0009,P013,,2,316.82
29,T0009,P089,,5,100.45
30,T0010,P038,,6,1459.32
31,T0011,P053,,10,2715.6
32,T0011,P024,PROMO_10,3,1182.74
33,T0011,P080,,4,1622.32
34,T0011,P075,PROMO_08,3,814.05
35,T0011,P033,PROMO_02,8,1951.74
36,T0012,P021,,2,971.14
37,T0012,P045,PROMO_03,10,1189.91
38,T0012,P089,,5,100.45
39,T0012,P039,,4,947.44
40,T0012,P062,PROMO_08,2,404.25
41,T0013,P090,PROMO_08,5,1278.65
42,T0013,P051,PROMO_08,5,689.26
43,T0013,P100,,1,43.31
44,T0014,P100,,4,173.24
45,T0014,P046,,-4,1723.24
46,T0014,P080,,5,2027.9
47,T0015,P081,,1,368.55
48,T0016,P047,PROMO_04,3,899.35
49,T0016,P042,PROMO_02,7,2583.53
50,T0016,P070,,6,757.86
51,T0016,P035,PROMO_03,3,295.37
52,T0016,P038,,6,1459.32
53,T0017,P097,,4,1139.92
54,T0017,P093,,7,251.44
55,T0018,P051,PROMO_02,1,159.06
56,T0019,P075,,7,2922.22
57,T0019,P048,,2,849.0
58,T0019,P061,,1,464.58
59,T0020,P029,,2,487.02
