store_id,store_name,store_city,store_region,opening_date
S001,"Rodriguez, Figueroa and Sanchez",Lake Curtis,North,2024-06-12
S002,Garza Inc,North Jefferyhaven,North,2006-10-17
S003,"Gonzalez, Santos and Gardner",South Bridget,East,2006-02-10
S004,Wolfe LLC,Ericmouth,South,2009-05-15
S005,James LLC,Cassandraton,South,2021-07-10
S006,"Martinez, Nielsen and Miller",Mariastad,South,2025-07-15
S007,Bush Inc,Port Keith,North,2008-08-09
S008,Delacruz Group,Shawnstad,North,2011-06-05
S009,Kelly-Santiago,New Cynthiaside,West,2014-03-22
S010,Ford LLC,Lake Mark,North,2007-10-18
S011,Underwood LLC,Adamsborough,North,2025-03-10
S012,"Edwards, Rios and Foster",Thomasberg,North,2014-04-13
S013,"Hoffman, Baker and Richards",Coxberg,South,2023-03-25
S014,Davis-Williams,East Courtneychester,South,2008-01-20
S015,James-Ferrell,Tashatown,North,2009-10-15
S016,"Dyer, Potter and Mack",Danielchester,South,2011-04-10
S017,Smith-Bowen,Teresaburgh,West,2023-03-02
S018,Harrell LLC,East Nathaniel,South,2026-04-01
S019,"Ashley, Nielsen and Sellers",Tracyville,West,2018-03-29
S020,Allen-Allen,North Jessicaland,East,2024-01-07
